{{dist=-1, rng=-1}
{dist=839.33362125282, rng=39762}
{dist=839.33362125282, rng=47909}
{dist=839.33362125282, rng=47885}
{dist=839.33362125282, rng=47941}
{dist=839.33362125282, rng=47607}
{dist=839.33362125282, rng=39982}
{dist=839.33362125282, rng=46945}
{dist=839.33362125282, rng=46928}
{dist=839.33362125282, rng=47337}
{dist=839.33362125282, rng=47001}
{dist=839.33362125282, rng=47093}
{dist=839.33362125282, rng=47047}
{dist=839.33362125282, rng=46774}
{dist=839.33362125282, rng=48055}
{dist=839.33362125282, rng=48066}
{dist=839.33362125282, rng=49011}
{dist=839.33362125282, rng=48950}
{dist=839.33362125282, rng=56528}
{dist=839.33362125282, rng=49502}
{dist=839.33362125282, rng=38786}
{dist=839.33362125282, rng=38787}
{dist=839.33362125282, rng=39716}
{dist=839.33362125282, rng=39238}
{dist=839.33362125282, rng=48642}
{dist=839.33362125282, rng=39623}
{dist=839.33362125282, rng=48688}
{dist=839.33362125282, rng=39522}
{dist=839.33362125282, rng=48639}
{dist=839.33362125282, rng=39291}
{dist=839.33362125282, rng=49870}
{dist=839.33362125282, rng=46662}
{dist=839.33362125282, rng=45978}
{dist=839.33362125282, rng=40672}
{dist=839.33362125282, rng=43337}
{dist=839.33362125282, rng=43321}
